,State,ESSER I,ESSER II,ESSER III,SEA Plan For 10% Set-Aside
0,Alabama,"$216,947,540","$899,464,932","$2,020,070,466","ESSER I: “The Alabama State Department of Education (ALSDE) proposes to use its SEA reserve to support:  Technological capacity and access to support remote learning. The strategies ALSDE intends to use to serve disadvantaged populations.  Remote learning by developing new informational and academic resources and expanding awareness of, and access to, best practices and innovations in remote learning and support for students, families, and educators.”  ESSER II: The state is using a portion of the state set aside to provide LEAs with additional funding for the following purposes:  Formative student assessment in Grades 4-8 for mathematics and reading at a rate of $12 per student.  Course of study professional development in Mathematics and English Language Arts.  More information here."
1,Alaska,"$38,407,914","$159,719,422","$358,707,134","The Alaska Department of Education & Early Development has used $2,810,414 of their state set-aside for the following:  Cook Inlet Tribal Council Digital Badging Project: $50,000  Mt. Edgecumbe IT Fiber and Hardware: $200,000  Northwest Evaluation Association (NWEA) Map Growth Data Consulting: $48,000  Teachers' Certification Digital/Paperless System: $750,000  Canvas Contract (2 years): $1,547,625  Alaska Statewide Virtual System Additional Seats (Summer School): $150,000  School Districts (Pelican, Skagway, Aleutian Region): $14,789  Alaska Association of School Business Officials (ALASBO) Grant: $50,000"
2,Arizona,"$277,422,944","$1,149,715,947","$2,582,098,697","ESSER I: ""The Arizona Department of Education intends to use its state set-aside to support students, families, educators, and leaders to enhance K-12 COVID-19 relief, prevention and preparation, and recovery efforts statewide. Emphasis will be placed on areas most significantly impacted by COVID-19 – including Tribal Communities, rural and remote schools. These additional funds will also help to ensure that all eligible LEAs receive a minimum ESSER Fund allocation of at least $50,000. The following is the methodology used to provide these additional funds:  Determine a per-pupil amount (PPA) based on 50% of the state FY20 Total Final Adjusted Poverty for the eligible Title I Cohort (Total for LEA Assistance / Total Adjusted Poverty)  Ensure all LEA allocations meet the 50% PPA as applied to their final adjusted poverty count  Ensure a minimum allocation of $50,000 (~26% of LEAs)""  ESSER II: The state is using 45% ($48 million) of the ESSER II set aside to ensure that all LEAs, regardless of whether or not they received Title I-A funds in FY 2021, will receive an allocation based on a minimum per pupil amount based on poverty data. This will guarantee $150,000 in relief funding for every public school district and non-profit charter school in Arizona, with $175,000 guaranteed for rural school districts and charter schools, and $200,000 guaranteed for the most remote school districts and charter schools. More information here."
3,Arkansas,"$128,758,638","$558,017,409","$1,253,227,833","ESSER I: ""The Arkansas Division of Elementary and Secondary Education will be setting aside the SEA reserve for future needs within the parameters of the CARES Act. Arkansas reserves the option to use a portion of its SEA reserve to support remote learning.""  ESSER II: The state using the ESSER II set-aside for the following:  $4.6 million of the $55.8 million is being used to cover unmet COVID-19 emergency leave claims from school employees in the first semester of this year. The purpose of the COVID-leave funding was to encourage sick employees to stay home and not spread the virus without using their traditional sick leave or losing pay if they did not have any sick days to use.  $23.2 million will be allocated to districts that received less than $600 per student in ESSER II funds, which was awarded a portion of the overall state set-aside funds to bring the district up to a base amount.  The rest of the set-aside is going to be used to address unmet student needs and learning gaps. There are plans to use about $12 million from the state's share of the Federal Emergency Relief Act funds and $5 million from the GEER program funds to build a statewide strategy for mental health and behavior support. Up to $7.5 million is being earmarked for ""teaching academies"" to increase the numbers of special education and computer science teachers, and to enhance teacher skills in online education. As much as $5 million is being reserved for addressing the needs of students who are at risk of not graduating because they stopped attending or rarely participated in online or on-site classes during the pandemic. $1 million will be allocated to upgrade the heating and cooling systems at the state's Little Rock schools for deaf and blind students.  More information here."
4,California,"$1,647,306,127","$6,709,633,866","$15,068,884,546",The California Department of Education has directed most of its funding from the state reserve to LEAs through $112.2 million to support nutrition services and $45 million for a competitive grant program to support and expand existing community schools.
5,Colorado,"$120,993,782","$519,324,311","$1,166,328,632","ESSER I: The Colorado Department of Education has determined that $4.6 million of the state reserve will be directed to school districts, BOCES and Tribes that received little or no relief funding in LEA distribution. The $4.6 million will be distributed in the following ways:  $750,000 to help BOCES with gaps in their special education funding and to provide operational support for BOCES with brick-and-mortar schools.  $70,000 to support educational needs of the Colorado Tribes.  $320,000 for 11 districts to support educational needs of the Native American students. $1.5 million for districts that did not receive or received a very small allocation from the 90% allocation. $2 million for districts, BOCES and Tribes for connectivity to broadband. The use of the remaining state set aside funds will be determined by the commissioner later in the fall of 2020.  ESSER II: The state is using the ESSER II set-aside fund for school districts, BOCES and tribes that received little or no relief funding in the earlier distribution of 90% of ESSER II funding based in Title I allocations.  The $16.8 million distribution will provide support for Native American students and students with special needs, among others, and will be distributed in the following ways:  $7,697,837 to help districts and BOCES support students with special needs.  $7,010,343 for districts that did not receive or received a very small allocation from the 90% allocation of ESSER II funds for Title I schools, as well as support for Native American students  $1,767,000 for operation support for BOCES and additional funding for BOCES with brick-and-mortar schools.  $280,000 to support educational needs of the Colorado tribes.  The Colorado Department of Education will reserve the remaining ESSER II state reserve funding to support educator recruitment and retention efforts and extended learning opportunities for students who have experienced the greatest impact on learning during the pandemic. The use of the remaining state set aside funds will be determined by the commissioner. More information here."
6,Connecticut,"$111,068,059","$492,426,458","$1,105,919,874","ESSER I: The Connecticut State Department of Education intends to use its state set-aside to address the following:  Equitable Access to Technology  Equitable Access to High Quality Online Curriculum including necessary supports Education Recovery & Reopening Schools  Social and Emotional Well-being  ESSER II: The state is using a portion of the ESSER II set aside amount to provide funding to LEAs who did not receive any funding through the formula grant, to LEAs that have received a decrease in the formula grant allocation, and for endowed academies, Goodwin University and EdAdvance. More information here.  ESSER III: The state is using the ESSER III set aside for:  Statewide Model Curricula (Addressing Learning Loss): This allows CSDE to make notable impact in the state’s education system while seeking to minimize the funding gap.  Extension of Contracts to Deliver Statewide Online Curricula and Courses to Districts (Addressing Learning Loss): The Department entered into two partnerships with Apex Learning and Defined Learning to support its goal of delivering equitable access to high-quality online curricula and courses at no cost to school districts.  Expansion Grant Program (Summer Enrichment): Expansion Grants ranging from $2,500 to $25,000 were awarded to 210 eligible applicants that will expand existing enrichment opportunities and increase access for children who might otherwise not have access to summer camp or programming.  Innovation Grant Program (Summer Enrichment): Innovation Grants ranging from $50,000 to $250,000 were awarded to 25 eligible applicants to deliver bold and innovative summer enrichment programming to Connecticut children at scale this summer.  Funding for Districts and Endowed Academies not Eligible for Formula ARP ESSER Funding  More information here."
7,Delaware,"$43,492,753","$182,885,104","$410,733,965","ESSER I: ""The Delaware Department of Education intends to use $3.1 million of its set-aside ($4,349,275) to support technological capacity and access. Of the $3.1 million for technology, $1.5 million will go to support low-income students. Furthermore, Delaware’s guidance to LEAs will emphasize the following four of the twelve allowable use categories:  Disadvantaged populations  Addressing long-term closures including meals, technology, IDEA  Educational technology  Summer learning and supplemental afterschool programs""  ESSER II: The state will use the ESSER II set aside amount for the following:  Resources to address unfinished learning for students in every district and charter school through acceleration in literacy (rising 1-6 graders), math (rising 1-8 graders) and evidence-based high-dosage tutoring for the most struggling students.  Access to online texts for K-12 students in every district and charter school.  Access to credentialed programs and apprenticeships in an online format for every user in Delaware.  Communication with families of English language learner students in every district and charter school.  Educator support and pipeline development.  Socioemotional/behavioral health services.  More information here."
8,D.C.,"$42,006,354","$172,013,174","$386,317,154","ESSER I: ""OSSE plans to use their set-aside funds for contractual needs to be determined in the 2020-21 school year to support recovery learning in accordance with OSSE’s principles for continuous education.""  ESSER II: The DC Office of the State Superintendent of Education is using a portion of their ESSER II set-aside to provide funding to LEAs not eligible for the ESSER II fund. More information here."
9,Florida,"$770,247,851","$3,133,878,723","$7,038,246,438","ESSER I: “The Florida Department of Education (FDOE) intends to use its portion of the ESSER Fund reward to focus on three top priorities for the state, which include on closing achievement gaps, a proactive plan that will reinforce literacy supports, especially for Florida’s low-income and academically struggling K-5 students, and a comprehensive model that supports the safety and health of all students and staff. Each LEA will be asked to implement their own Instructional Continuity Plan (ICP) An ICP is an LEA/School plan for implementing distance learning.”  ESSER II: $106 million from the ESSER II set-aside fund will go towards the Civic Literacy Excellence Initiative. This includes professional development support and a $3,000 bonus for teachers participating in the Florida Civics Seal of Excellence endorsement program. More information here."
